,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1TD,1Q21,2Q21,3Q21,4Q/21,1QTD,2016,2017,2018,2019,2020,2021,2022TD
hedera-hashgraph,1.4796369711799557,0.4861808134634005,2.2759422733206853,-0.27014541076289456,-0.23737265244301153,-0.13103930525596208,0.1325853602657714,0.1341294354104292,0.2771952355388898,0.34152936159951786,-0.15393619641989742,-0.1577003018753388,0.2993613135264384,11.072466072943639,-0.5163303341946244,0.6405552303970026,-0.04397347313252009,0.2993613135264384,,,,,1.93773670189421,8.158105513741216,0.2993613135264384
vechain,0.32120534967696823,0.5317753825734026,1.1808793088088252,1.153984979060715,-0.434879457169179,-0.17407598828340387,-0.04942941886150054,0.3746899499729548,-0.2806398777092798,0.5398124343019974,-0.06385620928541136,-0.3038279875461013,0.08489207999452159,3.413641365536326,0.00536522108295312,-0.05998347995125608,0.003522104587091013,0.08489207999452159,,,,0.30161155736768475,2.7436727647521124,3.1858467864388507,0.08489207999452159
near,0.7907922009510695,0.8726705963264758,0.5617442685851328,-0.13207660981905156,-0.4356883291684581,-0.32929744619801626,0.11700336969731562,1.307474989703536,0.2437792896004667,0.5684339663787168,-0.19514680650220728,0.8289842560403433,15.41589334159289,4.237409198365875,-0.6715037737189817,2.2057880580658944,1.3088348949163229,15.41589334159289,,,,,,11.73428530492852,15.41589334159289
cosmos,0.47076275620548746,1.4164734952209619,0.02541614749620802,0.11114096196428447,-0.43203244279181374,-0.0731280639879901,0.05223172016259814,0.7969050326726512,0.536184862738891,0.10278043432533357,-0.24600946290307657,0.07859114253545618,30.242086545043552,2.644389711426906,-0.41505851958508866,1.9045576184526047,-0.10316655233954564,30.242086545043552,,,,,0.3107453936853486,4.553017280428719,30.242086545043552
binance-peg-filecoin,,,,,,-0.11772052805158273,-0.14405561154358015,0.3883987401384106,-0.20347761898911776,0.0420445914381693,-0.07513069356128521,-0.36350194421844073,35.02450229450095,,,-0.053419086521057646,-0.38657177897587736,35.02450229450095,,,,,,,35.02450229450095
filecoin,0.015340835575186507,0.7475768685138355,2.897642484302581,-0.000923729681448715,-0.543400562825761,-0.056205782054860154,-0.2050297293894322,0.39223673752983323,-0.1987767337219548,0.047938240184072,-0.08502879735171565,-0.3638082705414445,34.8996167407994,5.9159228726233986,-0.5694621595676368,-0.11321665222056432,-0.3899981770256473,34.8996167407994,,,,,,0.6106832098522348,34.8996167407994
elrond-erd-2,1.6728446131495809,1.126321506603623,0.03941680566452499,0.2238848086607621,-0.46843355020663613,-0.08091444643110457,0.028505129911456928,0.8063190682392505,0.2839944724292487,0.2744607102420811,0.5241463333642666,-0.39432957514151756,239.43855755835534,4.907345580035421,-0.40206490251510696,1.385415752308655,0.1764933707790204,239.43855755835534,,,,,,8.912883252620775,239.43855755835534
ethereum-classic,0.32649977247390694,0.487812941623361,0.15806511350291097,1.6606759862182723,0.912871918141924,-0.1464581644595636,-0.09546056338833842,0.21987252242514166,-0.26543297213578976,0.15247234547466593,-0.08225393165245098,-0.28322774784600924,34.64427216855303,1.2855382329943987,3.3441288073729405,-0.18946199026142596,-0.24188650050629656,34.64427216855303,,17.388973296626972,-0.800607699484166,-0.1119004592753563,0.2280520807580193,5.100968748587153,34.64427216855303
san-diego-coin,20.48425346743564,1.4402703571270914,-0.7793492956342791,-0.23615187366585189,,,,,,,,,,10.568139843476574,0.08439686478960517,,,,,,,,,,
the-sandbox,1.419965737496013,1.8459818246963255,2.303950746984595,-0.31152199055953234,-0.42688948161755913,-0.30482298992233436,1.9267715799557803,0.4758468426858449,-0.3777512691802367,1.9272334991236995,2.935167559996104,-0.14880095068256616,5.927830862335233,21.754898567207114,-0.7257012341522731,1.6877826068933781,8.805093194451013,5.927830862335233,,,,,,163.4919399756368,5.927830862335233
internet-computer,,,,,,-0.5155553427051103,-0.22090821611546818,0.545915759499233,-0.31468434980928406,-0.033476972460211085,-0.02396432901207024,-0.40940732509984634,24.814969998024974,,,-0.1745987949092075,-0.44285793213318725,24.814969998024974,,,,,,,24.814969998024974
theta-token,0.24966771471229632,0.6009223124207657,3.0570846211894587,-0.156309596545802,-0.40390214129499113,0.08968646059361074,-0.15470605042171848,0.09666716354160654,-0.2650919990040074,0.6991969088853445,-0.18888881625518072,-0.2780646226773914,4.80953793260554,7.116688398174585,-0.45197265910797024,-0.3187357868780403,-0.005001506521774779,4.80953793260554,,,,0.8095589640321808,16.80160447904427,2.0152206490599824,4.80953793260554
